Iteration,PPO,DQN
0,-84.5,-87.6
1,-82.25,-73.7
2,-78.42,-62.666666666666664
3,-72.08,-52.0
4,-65.58,-43.44
5,-54.48,-34.06666666666667
6,-41.34,-24.142857142857142
7,-23.8,-15.15
8,-2.26,-5.666666666666667
9,21.1,3.48
10,38.94,21.76
11,49.68,37.48
12,56.86,51.12
13,64.12,62.74
14,69.46,73.26
15,75.16,81.66
16,79.14,87.78
17,82.82,92.72
18,85.08,95.32
19,86.78,96.42
20,87.92,96.38
21,89.56,96.22
22,90.42,96.14
23,91.06,96.28
24,92.5,96.28
25,93.8,96.26
26,94.38,96.22
27,95.04,96.22
28,95.26,96.3
29,95.02,96.28
30,95.54,96.34
31,96.3,96.52
32,97.08,96.6
33,97.62,96.4
34,97.7,96.46
35,97.98,96.44
36,97.84,96.4
37,97.9,96.36
38,98.22,96.12
39,98.52,96.12
40,98.96,96.24
41,99.18,96.02
42,99.32,96.02
43,99.46,95.96
44,99.5,95.96
45,99.34,96.02
46,99.46,96.04
47,99.62,95.96
48,99.7,96.18
49,99.76,96.2
50,99.72,96.2
51,99.8,96.34
52,99.9,96.3
53,99.86,96.58
54,99.9,96.38
55,99.94,96.42
56,99.96,96.38
57,99.96,96.48
58,99.94,96.34
59,99.92,96.3
60,99.88,96.22
61,99.94,96.14
62,99.98,96.34
63,100.0,96.22
64,100.0,96.42
65,99.98,96.38
66,99.98,96.54
67,100.0,96.38
68,100.0,96.44
69,100.0,96.5
70,100.0,96.52
71,99.98,96.58
72,99.98,96.4
73,99.98,96.4
74,99.98,96.26
75,100.0,96.26
76,100.0,96.2
77,100.0,96.34
78,100.0,96.46
79,100.0,96.56
80,100.0,96.5
81,100.0,96.48
82,100.0,96.48
83,100.0,96.36
84,100.0,96.52
85,100.0,96.52
86,100.0,96.42
87,100.0,96.28
88,100.0,96.0
89,100.0,95.8
90,100.0,96.08
91,100.0,96.22
92,100.0,96.22
93,100.0,96.44
94,100.0,96.28
95,100.0,96.16
96,100.0,96.4
97,100.0,96.44
98,100.0,96.56
